Premise Owner,Premise Name,Location desc,Lift ID,Capacity,Manufacturer,Installed year,Company,PMA Expiry Date,Latitude,Longitude
Jabatan Perkhidmatan Awam,INTAN Jalan Elmu,BLOK ASRAMA BARU,WP PMA 26306,800 kg,FUJI,2000,DONG YANG ELEVATOR (M) SDN. BHD.,08-Apr-25,3.119503715,101.649136
Jabatan Perkhidmatan Awam,INTAN Bukit Kiara,BLOK IMATEC,WP PMA 94339,800 kg,MITSUBISHI,2000,SERVICE MASTER SDN BHD,16-Oct-19,3.142639394,101.6467935
Jabatan Perkhidmatan Awam,INTAN Bukit Kiara,BLOK A KUARTERS,WP PMA99071,800 kg,KONE,2000,SERVICE MASTER SDN BHD,30-Sep-24,3.142639394,101.6467935
JKR Bahagian Perkhidmatan Mekanikal,JKR Bahagian Perkhidmatan Mekanikal,BLOK C,WP PMA 80467,800 kg,SCHINDLER,2017,TITI MAJU SDN BHD,30-Sep-24,3.11161,101.73795
JKR Bahagian Perkhidmatan Mekanikal,JKR Bahagian Perkhidmatan Mekanikal,BLOK B,WP PMA 80466,800 kg,SCHINDLER,2017,TITI MAJU SDN BHD,30-Sep-24,3.11229,101.73844
JKR Bahagian Perkhidmatan Mekanikal,JKR Bahagian Perkhidmatan Mekanikal,BLOK A,WP PMA 80271,800 kg,SCHINDLER,2017,TITI MAJU SDN BHD,30-Sep-24,3.11206,
Kompleks Pusat Islam,Kompleks Pusat Islam,L2,WP PMA 4633,800 kg,SCHINLER,2000,ANF GLOBAL RESOURCES,12-Oct-24,101.73769,
Lembaga Peperiksaan Kuala Lumpur,Lembaga Peperiksaan Kuala Lumpur,BLOK A,WP PMA 24529,800 kg,KONE,2000,POTENSI TERUS INDUSTRIES SDN BHD,01-May-24,3.169347837,101.6702363
Lembaga Peperiksaan Kuala Lumpur,Lembaga Peperiksaan Kuala Lumpur,BLOK A,WP PMA 24031,800 kg,KONE,2000,POTENSI TERUS INDUSTRIES SDN BHD,01-May-24,3.169347837,101.6702363
Lembaga Peperiksaan Kuala Lumpur,Lembaga Peperiksaan Kuala Lumpur,BLOK D,WP PMA 24312,800 kg,KONE,2000,POTENSI TERUS INDUSTRIES SDN BHD,01-May-24,3.169347837,101.6702363
Mahkamah Syariah Wilayah Persekutuan,Mahkamah Syariah Wilayah Persekutuan,ZON C HAKIM 1,WP PMA 15166,800 kg,TOSHIBA,2000,PRIMA ALTERNATIF SDN. BHD,10-Jun-26,3.166733555,101.6693461
Mahkamah Syariah Wilayah Persekutuan,Mahkamah Syariah Wilayah Persekutuan,ZON A HAKIM 2,WP PMA 116231,800 kg,TOSHIBA,2000,-,27-Feb-26,3.166733555,101.6693461
Mahkamah Syariah Wilayah Persekutuan,Mahkamah Syariah Wilayah Persekutuan,ZON A LOBI 1A,WP PMA 14237,800 kg,TOSHIBA,2000,PRIMA ALTERNATIF SDN. BHD,10-Jun-26,3.166733555,101.6693461
Mahkamah Syariah Wilayah Persekutuan,Mahkamah Syariah Wilayah Persekutuan,ZON A LOBI 1B,WP PMA 14238,800 kg,TOSHIBA,2000,PRIMA ALTERNATIF SDN. BHD,10-Jun-26,3.166733555,101.6693461
Mahkamah Syariah Wilayah Persekutuan,Mahkamah Syariah Wilayah Persekutuan,ZON C KAFE 2A,WP PMA 15164,800 kg,TOSHIBA,2000,PRIMA ALTERNATIF SDN. BHD,10-Jun-26,3.166733555,101.6693461
Mahkamah Syariah Wilayah Persekutuan,Mahkamah Syariah Wilayah Persekutuan,ZON C KAFE 2B,WP PMA 15165,800 kg,TOSHIBA,2000,PRIMA ALTERNATIF SDN. BHD,10-Jun-26,3.166733555,101.6693461
Mahkamah Syariah Wilayah Persekutuan,Mahkamah Syariah Wilayah Persekutuan,BILIK FAIL BASEMENT,WP PMA 14730,800 kg,TOSHIBA,2000,PRIMA ALTERNATIF SDN. BHD,10-Jun-26,3.166733555,101.6693461
Malaysia Space Agency,Malaysia Space Agency,LIFT 1,WP PMA 82111,800 kg,MITSUBISHI,2000,PRIMA ALTERNATIF SDN. BHD,12-Oct-24,3.162885809,101.6896257
Suruhanjaya Pencegahan Rasuah Kuala Lumpur,Suruhanjaya Pencegahan Rasuah Kuala Lumpur,MAIN BUILDING,WP PMA 12742,800 kg,EITA,2000,EITA ELEVATOR(MALAYSIA)SDN. BHD.,29-Aug-25,3.131979018,101.7302286
Suruhanjaya Pencegahan Rasuah Kuala Lumpur,Suruhanjaya Pencegahan Rasuah Kuala Lumpur,MAIN BUILDING,WP PMA 13213,800 kg,EITA,2000,EITA ELEVATOR(MALAYSIA)SDN. BHD.,29-Aug-25,3.131979018,101.7302286
